;PosX;400;PosY;110;CheckX;732;CheckY;332;;;;;;;;;;;
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
1;B/F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;B-F;F\B;1
2;B|F;F;F/T;T;T;T;T;T;T;S;T;T;T;T;T;T\F;F;F|B;2
3;B|F;F/T;T;T;T;T;T;T;T;S;T;T;T;T;T;T;T\F;F|B;3
4;B|F;T;T;T/F;F;F;F;F;F;F;F;F;F;F;F\T;T;T;F|B;4
5;B|F;T;T;F;F;F;F;F;F;F;F;F;F;F;F;T;T;F|B;5
6;B|F;T;T;F;F;F;F;F;F;F;F;F;F;F;F;T;T;F|B;6
7;B|F;T;T;T\F;F;F;F;F;F;F;F;F;F;F;F/T;T;T;F|B;7
8;B|F;F\T;T;T;T;T;T;T;T;T;T;T;T;T;T;T;T/F;F|B;8
9;B|F;F;F\T;T;T;T;T;T;T;T;T;T;T;T;T;T/F;F;F|B;9
10;B\F;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F-B;F/B;10
;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;
